SYMBOL,SERIES,SECURITY,HIGH/LOW
21STCENMGM,EQ,21ST CENTURY MGMT SERVICE,H
AATMAJ,SM,AATMAJ HEALTHCARE LIMITED,H
AGRITECH,EQ,AGRI-TECH (INDIA) LIMITED,H
AGUL,SM,A G UNIVERSAL LIMITED,H
ALPSINDUS,BE,ALPS INDUSTRIES LTD.,H
AMJUMBO,SM,A AND M JUMBO BAGS LTD,H
AMNPLST,EQ,AMINES & PLASTICIZERS LTD,H
ANKITMETAL,BZ,ANKIT MET & POW LTD,H
ANSALAPI,BZ,ANSAL PROP & INFRA LTD,H
ARISTO,SM,ARISTO BIO T AND LIFESC L,H
ARTNIRMAN,EQ,ART NIRMAN LIMITED,H
ARVINDPORT,SM,ARVIND PORT AND INFRA LTD,H
ASAHISONG,EQ,ASAHI SONGWON COLOR LTD,H
ATLANTAA,BE,ATLANTAA LIMITED,H
AURIGROW,EQ,AURI GROW INDIA LIMITED,H
BANKA,EQ,BANKA BIOLOO LIMITED,H
BFUTILITIE,BZ,BF UTILITIES LIMITED,H
CAPTRUST,EQ,CAPITAL TRUST LIMITED,H
CCCL,BE,CONS. CONST. CONSORT LTD,H
CEDAAR,SM,CEDAAR TEXTILE LIMITED,H
COASTCORP,BE,COASTAL CORPORATION LTD,H
COMMITTED,ST,COMMITTED CARGO CARE LTD,H
COMPINFO,BZ,COMPUAGE INFOCOM LTD,H
CPS,SM,C P S SHAPERS LIMITED,H
CSSL,ST,CLEAR SECURED SERVICES L,H
DIGJAMLMTD,EQ,DIGJAM LTD,H
DIVINEHIRA,ST,DIVINE HIRA JEWELLERS LTD,H
EXCEL,EQ,EXCEL REALTY N INFRA LTD,H
FEL,BZ,FUTURE ENTERPRISES LTD,H
FWSTC,ST,FLYWINGS SIMULAT T C LTD,H
GIRIRAJ,SM,GIRIRAJ CIVIL DEVP LTD,H
GURUNANAK,SM,GURUNANAK AGRICULTUR IN L,H
IL&FSENGG,BZ,IL&FS ENG AND CONS CO LTD,H
IL&FSTRANS,BZ,IL&FS TRANS NET LTD,H
INDOTHAI,BE,INDO THAI SEC LTD,H
JALAN,SM,JALAN TRANSOLU. INDIA LTD,H
KESORAMIND,BE,KESORAM INDUSTRIES LTD,H
MAFANG,EQ,MIRAEAMC - MAFANG,H
MAHKTECH,EQ,MIRAEAMC - MAHKTECH,H
MASPTOP50,EQ,MIRAEAMC - MASPTOP50,H
MEP,BZ,MEP INFRA. DEVELOPERS LTD,H
MONOPHARMA,SM,MONO PHARMACARE LIMITED,H
MORARJEE,BZ,MORARJEE TEXTILES LIMITED,H
PATELEG-RE,BE,PATEL ENGINEERING LTD,H
RAJRILTD,BE,RAJ RAYON INDUSTRIES LTD,H
REFRACTORY,SM,REFRACTORY SHAPES LIMITED,H
RELINFRA,BE,RELIANCE INFRASTRUCTU LTD,H
S&SPOWER,EQ,S&S POWER SWITCHGEARS LTD,H
SAIFL,SM,SAMEERA AGRO AND INFRA L,H
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,H
SATECH,SM,S A TECH SOFTWARE INDIA L,H
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,H
SIKKO,BE,SIKKO INDUSTRIES LIMITED,H
SINTERCOM,EQ,SINTERCOM INDIA LIMITED,H
SITINET,BZ,SITI NETWORKS LIMITED,H
SUPREMEENG,BZ,SUPREME ENGINEERING LTD,H
SYNOPTICS,SM,SYNOPTICS TECHNOLOGIES L,H
TAINWALCHM,EQ,TAINWALA CHEMICAL AND PLA,H
TRANSWIND,SM,TRANSWIND INFRA LIMITED,H
TVSELECT,BE,TVS ELECTRONICS LTD,H
TVVISION,EQ,TV VISION LIMITED,H
UNITEDPOLY,BE,UNITED POLYFAB GUJ. LTD.,H
VCL,BE,VAXTEX COTFAB LIMITED,H
VISASTEEL,BE,VISA STEEL LIMITED,H
WINSOME,BZ,WINSOME YARNS LIMITED,H
744TS48,SG,SDL TS 7.44% 2048,L
813GS2045,GS,GOI LOAN 8.13% 2045,L
948SCL26D,AI,SEC RE NCD 9.48% SR.V,L
ABAN,BE,ABAN OFFSHORE LTD.,L
AGUL,SM,A G UNIVERSAL LIMITED,L
ARSHIYA,BZ,ARSHIYA LIMITED,L
ATLPP,E1,ATL RE.0.50 PPD UP,L
BGRENERGY,BE,BGR ENERGY SYSTEMS LTD,L
CMRSL,SM,CYBER MEDIA RES & SER LTD,L
COMPINFO,BZ,COMPUAGE INFOCOM LTD,L
CONTI,SM,CONTINENTAL SEED CHEM LTD,L
CTE,EQ,CAMBRIDGE TECH ENTER LTD,L
DESTINY,SM,DESTINY LOGISTICS & I LTD,L
DHARAN,BZ,DHARAN INFRA-EPC LIMITED,L
DHTL,ST,DOCMODE HEALTH TECH LTD,L
EMBDL,BE,EMBASSY DEVELOPMENTS LTD,L
ENCOMPAS,ST,ENCOMPASS DESIGN INDIA L,L
EUROTEXIND,BE,EUROTEX IND & EXPORTS LTD,L
FELDVR,BZ,FUTURE ENTERPRISES LTD,L
GSTL,ST,GLOBESECURE TECHNO LTD,L
GVKPIL,BE,GVK POW. & INFRA LTD.,L
HOLMARC,SM,HOLMARC OPTO MECHATRO L,L
IBULLSLTD,EQ,INDIABULLS LIMITED,L
ISHAN,SM,ISHAN INTERNATIONAL LTD,L
ITTL,ST,INNOVATIVE TYRE & TUBE LT,L
JETFREIGHT,BE,JET FREIGHT LOGISTICS LTD,L
LAKPRE,BZ,LAKSHMI PRE SCRE LTD,L
LCCINFOTEC,BE,LCC INFOTECH LTD,L
MAKS,SM,MAKS ENERGY SOL INDIA LTD,L
MANDEEP,SM,MANDEEP AUTO INDUSTRIES L,L
MASKINVEST,BE,MASK INVESTMENTS LIMITED,L
MCLOUD,EQ,MAGELLANIC CLOUD LIMITED,L
NAVKARURB,EQ,NAVKAR URBANSTRUCTURE LTD,L
NEOCHEM,ST,NEOCHEM BIO SOLUTIONS LTD,L
NIRMAN,SM,NIRMAN AGRI GENTICS LTD,L
ONELIFECAP,BE,ONELIFE CAP ADVISORS LTD,L
OSELDEVICE,ST,OSEL DEVICES LIMITED,L
OSIAHYPER,EQ,OSIA HYPER RETAIL LIMITED,L
PATELEG-RE,BE,PATEL ENGINEERING LTD,L
PENTAGON,ST,PENTAGON RUBBER LIMITED,L
PROZONER,BE,PROZONE REALTY LIMITED,L
QUADPRO,SM,QUADPRO ITES LIMITED,L
RICHA,ST,RICHA INFO SYSTEMS LTD,L
ROLTA,BZ,ROLTA INDIA LTD,L
SACHEEROME,ST,SACHEEROME LIMITED,L
SANCO,BZ,SANCO INDUSTRIES LIMITED,L
SANWARIA,BZ,SANWARIA CONSUMER LIMITED,L
SECURKLOUD,BE,SECUREKLOUD TECH LIMITED,L
SETUINFRA,BZ,SETUBANDHAN INFRA LTD,L
SHRIKANHA,ST,SHRI KANHA STAINLESS LTD,L
SIGNORIA,SM,SIGNORIA CREATION LIMITED,L
SIKKO,BE,SIKKO INDUSTRIES LIMITED,L
SPCENET,BE,SPACENET ENTERS IND LTD,L
SPECTSTM,SM,SPECTRUM TALENT MGMT LTD,L
SPRL,ST,SP REFRACTORIES LIMITED,L
STALLION,BE,STALLION IND FLUOROCHEM L,L
SUPREMEENG,BZ,SUPREME ENGINEERING LTD,L
SUPREMEINF,BZ,SUPREME INFRA. LTD,L
SVPGLOB,BE,SVP GLOBAL TEXTILES LTD,L
TGL,ST,TEERTH GOPICON LIMITED,L
THESL,SM,THINKING HATS ENTER SOL L,L
TRANSWIND,SM,TRANSWIND INFRA LIMITED,L
TRU,EQ,TRUCAP FINANCE LIMITED,L
UNIHEALTH,ST,UNIHEALTH HOSPITALS LTD,L
VCL,BE,VAXTEX COTFAB LIMITED,L
VILINBIO,SM,VILIN BIO MED LIMITED,L
VSCL,SM,VADIVARHE SPCLTY CHEM LTD,L
WINSOME,BZ,WINSOME YARNS LIMITED,L
WOL3D,ST,WOL 3D INDIA LIMITED,L
